product_name,price,price_value,sku,stock_status,stock_quantity,categories,tags,tags_and_categories,tag_count,short_description,product_url,listing_page
Wartortle,£123.00,123.0,9659,24 in stock,24,Pokemon | Turtle,Torrent | Turtle | wartortle,Pokemon | Turtle | Torrent | wartortle,4,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",https://scrapeme.live/shop/Wartortle/,1
Weedle,£25.00,25.0,7525,65 in stock,65,Hairy Bug | Pokemon,Hairy Bug | Shield Dust | weedle,Hairy Bug | Pokemon | Shield Dust | weedle,4,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,https://scrapeme.live/shop/Weedle/,1
Arbok,£182.00,182.0,9230,248 in stock,248,Cobra | Pokemon,arbok | Cobra | Shed Skin,Cobra | Pokemon | arbok | Shed Skin,4,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",https://scrapeme.live/shop/Arbok/,2
Ekans,£55.00,55.0,5690,120 in stock,120,Pokemon | Snake,ekans | Shed Skin | Snake,Pokemon | Snake | ekans | Shed Skin,4,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,https://scrapeme.live/shop/Ekans/,2
Fearow,£95.00,95.0,9127,276 in stock,276,Beak | Pokemon,Beak | fearow | Keen Eye,Beak | Pokemon | fearow | Keen Eye,4,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,https://scrapeme.live/shop/Fearow/,2
Nidoking,£31.00,31.0,1159,178 in stock,178,Drill | Pokemon,Drill | nidoking | Poison Point,Drill | Pokemon | nidoking | Poison Point,4,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",https://scrapeme.live/shop/Nidoking/,2
Nidoqueen,£106.00,106.0,6614,153 in stock,153,Drill | Pokemon,Drill | nidoqueen | Poison Point,Drill | Pokemon | nidoqueen | Poison Point,4,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,https://scrapeme.live/shop/Nidoqueen/,2
Nidorina,£28.00,28.0,9779,58 in stock,58,Poison Pin | Pokemon,nidorina | Poison Pin | Poison Point,Poison Pin | Pokemon | nidorina | Poison Point,4,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",https://scrapeme.live/shop/Nidorina/,2
Nidorino,£179.00,179.0,9646,279 in stock,279,Poison Pin | Pokemon,nidorino | Poison Pin | Poison Point,Poison Pin | Pokemon | nidorino | Poison Point,4,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",https://scrapeme.live/shop/Nidorino/,2
Pidgeot,£185.00,185.0,8462,90 in stock,90,Bird | Pokemon,Bird | Keen Eye | pidgeot,Bird | Pokemon | Keen Eye | pidgeot,4,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",https://scrapeme.live/shop/Pidgeot/,2
Pidgeotto,£84.00,84.0,1150,120 in stock,120,Bird | Pokemon,Bird | Keen Eye | pidgeotto,Bird | Pokemon | Keen Eye | pidgeotto,4,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",https://scrapeme.live/shop/Pidgeotto/,2
Pikachu,£37.00,37.0,1333,254 in stock,254,Mouse | Pokemon,Mouse | pikachu | Static,Mouse | Pokemon | pikachu | Static,4,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,https://scrapeme.live/shop/Pikachu/,2
Raichu,£140.00,140.0,3488,215 in stock,215,Mouse | Pokemon,Mouse | raichu | Static,Mouse | Pokemon | raichu | Static,4,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,https://scrapeme.live/shop/Raichu/,2
Raticate,£60.00,60.0,5745,204 in stock,204,Mouse | Pokemon,Mouse | raticate | Run Away,Mouse | Pokemon | raticate | Run Away,4,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",https://scrapeme.live/shop/Raticate/,2
Rattata,£128.00,128.0,1009,16 in stock,16,Mouse | Pokemon,Mouse | rattata | Run Away,Mouse | Pokemon | rattata | Run Away,4,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",https://scrapeme.live/shop/Rattata/,2
Sandshrew,£82.00,82.0,9134,100 in stock,100,Mouse | Pokemon,Mouse | Sand Veil | sandshrew,Mouse | Pokemon | Sand Veil | sandshrew,4,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",https://scrapeme.live/shop/Sandshrew/,2
Sandslash,£155.00,155.0,4747,236 in stock,236,Mouse | Pokemon,Mouse | Sand Veil | sandslash,Mouse | Pokemon | Sand Veil | sandslash,4,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",https://scrapeme.live/shop/Sandslash/,2
Spearow,£133.00,133.0,1591,46 in stock,46,Pokemon | Tiny Bird,Keen Eye | spearow | Tiny Bird,Pokemon | Tiny Bird | Keen Eye | spearow,4,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",https://scrapeme.live/shop/Spearow/,2
Clefable,£188.00,188.0,9786,23 in stock,23,Fairy | Pokemon,clefable | Cute Charm | Fairy,Fairy | Pokemon | clefable | Cute Charm,4,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",https://scrapeme.live/shop/Clefable/,3
Clefairy,£160.00,160.0,3259,86 in stock,86,Fairy | Pokemon,clefairy | Cute Charm | Fairy,Fairy | Pokemon | clefairy | Cute Charm,4,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",https://scrapeme.live/shop/Clefairy/,3
Diglett,£122.00,122.0,4383,227 in stock,227,Mole | Pokemon,diglett | Mole | Sand Veil,Mole | Pokemon | diglett | Sand Veil,4,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",https://scrapeme.live/shop/Diglett/,3
Gloom,£178.00,178.0,7374,74 in stock,74,Pokemon | Weed,Chlorophyll | gloom | Weed,Pokemon | Weed | Chlorophyll | gloom,4,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",https://scrapeme.live/shop/Gloom/,3
Golbat,£136.00,136.0,5941,52 in stock,52,Bat | Pokemon,Bat | golbat | Inner Focus,Bat | Pokemon | golbat | Inner Focus,4,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",https://scrapeme.live/shop/Golbat/,3
Jigglypuff,£61.00,61.0,9180,136 in stock,136,Balloon | Pokemon,Balloon | Cute Charm | jigglypuff,Balloon | Pokemon | Cute Charm | jigglypuff,4,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",https://scrapeme.live/shop/Jigglypuff/,3
Ninetales,£52.00,52.0,5173,215 in stock,215,Fox | Pokemon,Flash Fire | Fox | ninetales,Fox | Pokemon | Flash Fire | ninetales,4,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,https://scrapeme.live/shop/Ninetales/,3
Oddish,£45.00,45.0,8337,296 in stock,296,Pokemon | Weed,Chlorophyll | oddish | Weed,Pokemon | Weed | Chlorophyll | oddish,4,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",https://scrapeme.live/shop/Oddish/,3
Paras,£168.00,168.0,9691,192 in stock,192,Mushroom | Pokemon,Effect Spore | Mushroom | paras,Mushroom | Pokemon | Effect Spore | paras,4,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,https://scrapeme.live/shop/Paras/,3
Parasect,£27.00,27.0,4612,17 in stock,17,Mushroom | Pokemon,Effect Spore | Mushroom | parasect,Mushroom | Pokemon | Effect Spore | parasect,4,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",https://scrapeme.live/shop/Parasect/,3
Venomoth,£53.00,53.0,3503,22 in stock,22,Poison Moth | Pokemon,Poison Moth | Shield Dust | venomoth,Poison Moth | Pokemon | Shield Dust | venomoth,4,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",https://scrapeme.live/shop/Venomoth/,3
Venonat,£158.00,158.0,1329,177 in stock,177,Insect | Pokemon,Compound Eyes | Insect | venonat,Insect | Pokemon | Compound Eyes | venonat,4,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",https://scrapeme.live/shop/Venonat/,3
Vileplume,£170.00,170.0,5295,283 in stock,283,Flower | Pokemon,Chlorophyll | Flower | vileplume,Flower | Pokemon | Chlorophyll | vileplume,4,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",https://scrapeme.live/shop/Vileplume/,3
Vulpix,£85.00,85.0,1440,268 in stock,268,Fox | Pokemon,Flash Fire | Fox | vulpix,Fox | Pokemon | Flash Fire | vulpix,4,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",https://scrapeme.live/shop/Vulpix/,3
Wigglytuff,£130.00,130.0,2733,260 in stock,260,Balloon | Pokemon,Balloon | Cute Charm | wigglytuff,Balloon | Pokemon | Cute Charm | wigglytuff,4,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",https://scrapeme.live/shop/Wigglytuff/,3
Zubat,£125.00,125.0,2584,154 in stock,154,Bat | Pokemon,Bat | Inner Focus | zubat,Bat | Pokemon | Inner Focus | zubat,4,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",https://scrapeme.live/shop/Zubat/,3
Abra,£141.00,141.0,3845,116 in stock,116,Pokemon | Psi,abra | Inner Focus | Psi,Pokemon | Psi | abra | Inner Focus,4,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",https://scrapeme.live/shop/Abra/,4
Alakazam,£40.00,40.0,7975,142 in stock,142,Pokemon | Psi,alakazam | Inner Focus | Psi,Pokemon | Psi | alakazam | Inner Focus,4,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",https://scrapeme.live/shop/Alakazam/,4
Arcanine,£69.00,69.0,9267,14 in stock,14,Legendary | Pokemon,arcanine | Intimidate | Legendary,Legendary | Pokemon | arcanine | Intimidate,4,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",https://scrapeme.live/shop/Arcanine/,4
Dugtrio,£111.00,111.0,7897,290 in stock,290,Mole | Pokemon,dugtrio | Mole | Sand Veil,Mole | Pokemon | dugtrio | Sand Veil,4,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",https://scrapeme.live/shop/Dugtrio/,4
Golduck,£31.00,31.0,8764,278 in stock,278,Duck | Pokemon,Damp | Duck | golduck,Duck | Pokemon | Damp | golduck,4,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",https://scrapeme.live/shop/Golduck/,4
Growlithe,£30.00,30.0,1749,243 in stock,243,Pokemon | Puppy,growlithe | Intimidate | Puppy,Pokemon | Puppy | growlithe | Intimidate,4,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",https://scrapeme.live/shop/Growlithe/,4
Kadabra,£129.00,129.0,9040,195 in stock,195,Pokemon | Psi,Inner Focus | kadabra | Psi,Pokemon | Psi | Inner Focus | kadabra,4,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",https://scrapeme.live/shop/Kadabra/,4
Machop,£166.00,166.0,9506,173 in stock,173,Pokemon | Superpower,Guts | machop | Superpower,Pokemon | Superpower | Guts | machop,4,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,https://scrapeme.live/shop/Machop/,4
Mankey,£125.00,125.0,5180,209 in stock,209,Pig Monkey | Pokemon,mankey | Pig Monkey | Vital Spirit,Pig Monkey | Pokemon | mankey | Vital Spirit,4,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",https://scrapeme.live/shop/Mankey/,4
Meowth,£131.00,131.0,9594,203 in stock,203,Pokemon | Scratch Cat,meowth | Pickup | Scratch Cat,Pokemon | Scratch Cat | meowth | Pickup,4,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",https://scrapeme.live/shop/Meowth/,4
Persian,£200.00,200.0,3752,108 in stock,108,Classy Cat | Pokemon,Classy Cat | persian | Technician,Classy Cat | Pokemon | persian | Technician,4,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,https://scrapeme.live/shop/Persian/,4
Poliwag,£174.00,174.0,6402,217 in stock,217,Pokemon | Tadpole,Damp | poliwag | Tadpole,Pokemon | Tadpole | Damp | poliwag,4,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",https://scrapeme.live/shop/Poliwag/,4
Poliwhirl,£121.00,121.0,4447,139 in stock,139,Pokemon | Tadpole,Damp | poliwhirl | Tadpole,Pokemon | Tadpole | Damp | poliwhirl,4,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",https://scrapeme.live/shop/Poliwhirl/,4
Poliwrath,£152.00,152.0,1848,216 in stock,216,Pokemon | Tadpole,Damp | poliwrath | Tadpole,Pokemon | Tadpole | Damp | poliwrath,4,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",https://scrapeme.live/shop/Poliwrath/,4
Primeape,£86.00,86.0,3052,68 in stock,68,Pig Monkey | Pokemon,Pig Monkey | primeape | Vital Spirit,Pig Monkey | Pokemon | primeape | Vital Spirit,4,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",https://scrapeme.live/shop/Primeape/,4
Psyduck,£182.00,182.0,6470,214 in stock,214,Duck | Pokemon,Damp | Duck | psyduck,Duck | Pokemon | Damp | psyduck,4,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",https://scrapeme.live/shop/Psyduck/,4
Bellsprout,£74.00,74.0,7454,257 in stock,257,Flower | Pokemon,bellsprout | Chlorophyll | Flower,Flower | Pokemon | bellsprout | Chlorophyll,4,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",https://scrapeme.live/shop/Bellsprout/,5
Geodude,£32.00,32.0,1650,77 in stock,77,Pokemon | Rock,geodude | Rock | Rock Head,Pokemon | Rock | geodude | Rock Head,4,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",https://scrapeme.live/shop/Geodude/,5
Golem,£103.00,103.0,1408,151 in stock,151,Megaton | Pokemon,golem | Megaton | Rock Head,Megaton | Pokemon | golem | Rock Head,4,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",https://scrapeme.live/shop/Golem/,5
Graveler,£182.00,182.0,4748,86 in stock,86,Pokemon | Rock,graveler | Rock | Rock Head,Pokemon | Rock | graveler | Rock Head,4,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",https://scrapeme.live/shop/Graveler/,5
Machamp,£121.00,121.0,2857,242 in stock,242,Pokemon | Superpower,Guts | machamp | Superpower,Pokemon | Superpower | Guts | machamp,4,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",https://scrapeme.live/shop/Machamp/,5
Machoke,£27.00,27.0,9503,10 in stock,10,Pokemon | Superpower,Guts | machoke | Superpower,Pokemon | Superpower | Guts | machoke,4,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",https://scrapeme.live/shop/Machoke/,5
Magnemite,£100.00,100.0,1688,16 in stock,16,Magnet | Pokemon,magnemite | Magnet | Sturdy,Magnet | Pokemon | magnemite | Sturdy,4,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,https://scrapeme.live/shop/Magnemite/,5
Magneton,£191.00,191.0,5934,152 in stock,152,Magnet | Pokemon,Magnet | magneton | Sturdy,Magnet | Pokemon | magneton | Sturdy,4,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",https://scrapeme.live/shop/Magneton/,5
Ponyta,£53.00,53.0,3629,41 in stock,41,Fire Horse | Pokemon,Fire Horse | ponyta | Run Away,Fire Horse | Pokemon | ponyta | Run Away,4,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,https://scrapeme.live/shop/Ponyta/,5
Rapidash,£98.00,98.0,3414,194 in stock,194,Fire Horse | Pokemon,Fire Horse | rapidash | Run Away,Fire Horse | Pokemon | rapidash | Run Away,4,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",https://scrapeme.live/shop/Rapidash/,5
Slowbro,£179.00,179.0,3864,289 in stock,289,Hermit Crab | Pokemon,Hermit Crab | Oblivious | slowbro,Hermit Crab | Pokemon | Oblivious | slowbro,4,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",https://scrapeme.live/shop/Slowbro/,5
Slowpoke,£109.00,109.0,2145,57 in stock,57,Dopey | Pokemon,Dopey | Oblivious | slowpoke,Dopey | Pokemon | Oblivious | slowpoke,4,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",https://scrapeme.live/shop/Slowpoke/,5
Tentacool,£186.00,186.0,1506,66 in stock,66,Jellyfish | Pokemon,Clear Body | Jellyfish | tentacool,Jellyfish | Pokemon | Clear Body | tentacool,4,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,https://scrapeme.live/shop/Tentacool/,5
Tentacruel,£65.00,65.0,1723,175 in stock,175,Jellyfish | Pokemon,Clear Body | Jellyfish | tentacruel,Jellyfish | Pokemon | Clear Body | tentacruel,4,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,https://scrapeme.live/shop/Tentacruel/,5
Victreebel,£68.00,68.0,2187,119 in stock,119,Flycatcher | Pokemon,Chlorophyll | Flycatcher | victreebel,Flycatcher | Pokemon | Chlorophyll | victreebel,4,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",https://scrapeme.live/shop/Victreebel/,5
Weepinbell,£26.00,26.0,5253,46 in stock,46,Flycatcher | Pokemon,Chlorophyll | Flycatcher | weepinbell,Flycatcher | Pokemon | Chlorophyll | weepinbell,4,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",https://scrapeme.live/shop/Weepinbell/,5
Cloyster,£199.00,199.0,5736,39 in stock,39,Bivalve | Pokemon,Bivalve | cloyster | Shell Armor,Bivalve | Pokemon | cloyster | Shell Armor,4,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",https://scrapeme.live/shop/Cloyster/,6
Dewgong,£70.00,70.0,9375,62 in stock,62,Pokemon | Sea Lion,dewgong | Sea Lion | Thick Fat,Pokemon | Sea Lion | dewgong | Thick Fat,4,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,https://scrapeme.live/shop/Dewgong/,6
Dodrio,£138.00,138.0,4038,118 in stock,118,Pokemon | Triple Bird,dodrio | Run Away | Triple Bird,Pokemon | Triple Bird | dodrio | Run Away,4,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",https://scrapeme.live/shop/Dodrio/,6
